incident_id,company_revenue_usd,country_hq,industry_primary,industry_secondary,employee_count,is_public_company,attack_vector_primary,attack_vector_secondary,attribution_confidence,data_compromised_records,data_type,systems_affected,downtime_hours,data_source_type,confidence_tier,incident_year,incident_month,incident_dow,days_to_discovery,days_to_disclosure,direct_loss_usd,direct_loss_method,ransom_demanded_usd,ransom_paid_usd,ransom_source,recovery_cost_usd,legal_fees_usd,regulatory_fine_usd,insurance_payout_usd,price_7d_before,price_disclosure_day,volume_avg_30d_baseline,sector_index,sector_return_same_period,earnings_announcement_within_7d,market_cap_at_disclosure,pre_incident_volatility_30d,severity_label
2021-1020-001,9204366431.99,AT,31-33,92,30196,True,ransomware,malware,,,,website,77.9,verified_media,4,2021,10,2,32,38,3798042.96,estimated,50000.0,28164.97,congressional testimony,3845502.4,1116455.37,,,78.24,74.41,199294.0,S&P 500 Industrials,-16.142,False,23710490060.29,2.313,medium
2025-0818-001,108537488953.55,CA,44-45,,723769,True,apt,ddos,suspected,143751.0,IP,HR_systems,134.16,sec_filing,1,2025,8,0,8,21,33032603.33,calculated,,,,21055688.46,1930962.57,,,474.38,435.67,1201465.0,S&P 500 Consumer Discretionary,21.834,False,565405877461.17,15.619,critical
2025-0626-001,901886399.41,AU,51,,1575,True,data_breach,,suspected,61262.0,credentials,"HR_systems,customer_database,VPN,SSO",,sec_filing,1,2025,6,3,12,39,2600000.0,calculated,,,,2805967.97,388901.26,50000.0,,14.27,14.24,343496.0,S&P 500 Information Technology,-3.939,True,7204249515.63,18.237,low
2023-1214-001,17651968152.39,FR,52,,65575,True,supply_chain,,probable,,,"email,SCADA,customer_database,HR_systems,cloud_infrastructure",,company_pr,2,2023,12,3,1,12,4758332.84,estimated,,,,1803463.66,1211370.56,,2516272.49,255.42,251.79,1498948.0,S&P 500 Financials,-18.686,False,108959470452.3,25.771,medium
2025-0810-001,107194946506.97,US,44-45,,830594,True,ransomware,data_breach,unknown,,,"website,HR_systems,manufacturing_OT",106.43,sec_filing,1,2025,8,6,14,53,36626897.89,calculated,2937382.61,1055021.6,congressional testimony,24374587.93,6814919.29,,24265447.12,732.51,714.15,465360.0,S&P 500 Consumer Discretionary,248.0,True,479375712261.15,17.222,critical
2025-1201-001,307240029.02,US,52,,621,True,phishing,,,4291.0,PII,active_directory,,cybersecurity_firm,3,2025,12,0,32,31,6859602.15,estimated,,,,7259803.24,1564794.58,,6194056.42,8.99,9.26,1561913.0,S&P 500 Financials,28.603,False,2101767096.58,17.266,medium
2021-0312-001,2346673709.12,AU,51,,5401,False,phishing,,probable,5344.0,mixed,"SCADA,cloud_infrastructure,website",,verified_media,3,2021,3,4,18,24,256050.66,estimated,,,,302688.88,75666.36,,,,,,,,,,,low
2023-0512-001,826792409.83,US,92,51,5756,False,ransomware,,suspected,13561.0,IP,"ERP,HR_systems,VPN,customer_database",235.57,company_pr,2,2023,5,4,31,15,666313.76,calculated,416057.78,,,221686.5,200467.8,,570903.24,,,,,,,,,low
2022-0227-001,1522942145.8,GB,44-45,,12948,True,data_breach,supply_chain,,4046.0,PII,"SSO,active_directory,manufacturing_OT,file_servers",,sec_filing,1,2022,2,6,12,18,4706515.66,calculated,,,,4392126.68,674412.56,,,20.04,20.17,1498625.0,S&P 500 Consumer Discretionary,5.274,False,7336682108.12,34.261,medium
2024-1210-001,8988470795.46,CH,48-49,,45206,True,data_breach,,suspected,8233944.0,mixed,"active_directory,customer_database,VPN",,sec_filing,1,2024,12,1,65,5,8234612.8,calculated,,,,8657373.3,2279784.05,,9768917.73,64.2,61.67,77481.0,S&P 500 Industrials,-7.967,False,45018205506.22,32.632,high
2025-1022-001,4675299195.72,US,54,,16667,False,ransomware,,probable,125179.0,mixed,"HR_systems,backup_systems",39.44,verified_media,4,2025,10,2,11,50,8439272.35,estimated,841285.02,,,2923220.19,1376870.6,,2374517.47,,,,,,,,,medium
2024-0722-001,4256767662.67,US,52,,10084,False,malware,,unknown,220581.0,mixed,"file_servers,backup_systems",64.41,sec_filing,1,2024,7,0,94,18,1000000.0,estimated,,,,1125209.45,212641.06,,390215.02,,,,,,,,,low
2022-0219-001,61550130971.46,IL,52,,123675,True,ransomware,,probable,356997.0,credentials,ERP,33.7,cybersecurity_firm,3,2022,2,5,15,15,22214980.08,disclosed,2428507.3,,,12952138.1,7518454.67,,,350.55,358.94,1019823.0,S&P 500 Financials,19.177,False,210499393661.11,17.393,high
2024-0718-001,8402494685.27,IN,51,,18988,True,phishing,,probable,1134910.0,financial,SCADA,,cybersecurity_firm,3,2024,7,3,7,7,6655022.88,estimated,,,,2808024.17,346262.24,,,97.63,91.89,6239618.0,S&P 500 Information Technology,-4.043,False,63509722451.51,15.994,medium
2025-0825-001,10118710778.4,IT,62,,63912,True,data_breach,ddos,probable,23023.0,PII,"SCADA,active_directory,manufacturing_OT,VPN",,verified_media,4,2025,8,0,91,18,19500000.0,estimated,,,,6627406.97,6729108.0,,17293743.72,,,,,,,,,high
2023-0601-001,1330577929.75,NL,92,,14167,False,malware,,probable,1000.0,credentials,"email,VPN,CRM",420.72,gdpr_notification,1,2023,6,3,14,5,2061300.54,calculated,,,,1452428.45,368696.28,,1122690.29,,,,,,,,,low
2024-0706-001,131344615.21,US,23,,917,False,ddos,,,,,"ERP,file_servers,SSO,cloud_infrastructure,SCADA",327.76,verified_media,4,2024,7,5,10,13,6839661.26,calculated,,,,3118279.01,684374.16,,6076682.86,,,,,,,,,medium
2022-0716-001,472599840.83,JP,22,,2005,False,data_breach,,suspected,67418.0,PII,"SCADA,CRM,VPN,cloud_infrastructure",,cybersecurity_firm,3,2022,7,5,184,36,92156968.96,estimated,,,,63159811.4,21642636.55,,,,,,,,,,,critical
2022-1227-001,10092452867.3,US,62,,64897,False,apt,,,112824.0,mixed,"CRM,SSO",18.65,gdpr_notification,1,2022,12,1,11,15,116114353.03,calculated,,,,69036990.63,5891865.86,,,,,,,,,,,critical
2021-1001-001,588367670.93,CA,56,52,20229,False,ransomware,,,6094.0,credentials,"email,ERP,customer_database,cloud_infrastructure",320.38,verified_media,4,2021,10,4,10,52,23400000.0,disclosed,404647.94,237079.86,insurance claim record,21340436.19,1235194.37,,,,,,,,,,,high
2021-1016-001,486061480.5,DE,22,52,1169,False,data_breach,,probable,73945.0,mixed,"file_servers,active_directory,backup_systems,customer_database",,gdpr_notification,1,2021,10,5,5,12,6575299.8,estimated,,,,3721539.77,436407.51,,,,,,,,,,,medium
2024-0107-001,13786299333.98,BR,31-33,,46925,True,backdoor,,confirmed,,,payment_systems,,gdpr_notification,1,2024,1,6,182,12,15844523.78,estimated,,,,12044598.64,1758096.45,,10239134.02,88.61,86.98,322000.0,S&P 500 Industrials,-7.038,True,67622520282.55,17.888,high
2023-0913-001,168368637.62,GB,61,,2843,False,data_breach,,suspected,202763.0,health,"customer_database,SSO",,sec_filing,1,2023,9,2,91,18,4198928.35,calculated,,,,2496560.31,906663.76,124757.91,3507319.63,,,,,,,,,medium
2022-1007-001,53071232.49,KR,31-33,,155,False,ransomware,,,14466.0,financial,"SSO,CRM,backup_systems,payment_systems",59.18,company_pr,2,2022,10,4,61,13,6983748.03,calculated,660069.54,475600.52,congressional testimony,7323925.36,1032725.03,,9538312.17,,,,,,,,,medium
2022-1218-001,38449985.56,US,56,,542,True,ransomware,,,,,HR_systems,121.22,verified_media,3,2022,12,6,12,30,4237981.14,estimated,10240844.79,6596009.29,blockchain analysis,2621398.69,1366711.9,,1845241.56,,,,,,,,,medium
2021-1203-001,118110131055.27,US,44-45,,1136850,True,data_breach,,,72028142.0,PII,"VPN,CRM,SSO",,company_pr,2,2021,12,4,11,45,90053977.84,estimated,,,,41399064.05,26181152.84,,35287361.79,292.13,282.32,2418972.0,S&P 500 Consumer Discretionary,1.843,False,688104409153.04,34.434,critical
2022-0209-001,36253095.63,JP,62,,434,False,data_breach,,probable,12849.0,PII,CRM,,sec_filing,1,2022,2,2,9,8,7069353.65,estimated,,,,7205616.21,424329.72,367106.99,8730878.79,,,,,,,,,medium
2023-1111-001,9358322328.66,US,61,,192975,False,ransomware,,unknown,1000.0,health,"website,ERP,email",66.74,sec_filing,1,2023,11,5,95,11,9000000.0,disclosed,4054177.01,1816025.5,blockchain analysis,6310779.69,1160899.11,,4682585.27,,,,,,,,,high
2025-0901-001,4527931829.25,GB,52,,9697,True,phishing,,,8951.0,PII,"customer_database,website",,verified_media,4,2025,9,0,10,60,3225642.15,estimated,,,,3503433.25,922421.38,,2752984.95,,,,,,,,,medium
2025-1016-001,576231851.27,IL,56,,9593,False,ddos,,,,,"payment_systems,active_directory",113.32,sec_filing,1,2025,10,3,62,65,386961.71,calculated,,,,227835.89,103953.33,,266554.75,,,,,,,,,low
2023-0129-001,379566992.25,GB,92,72,3373,False,backdoor,,,,,"SSO,email",,gdpr_notification,1,2023,1,6,15,11,2140482.73,disclosed,,,,2319068.97,483886.25,,2952448.34,,,,,,,,,low
2022-1020-001,160877791.78,AU,52,,410,False,ransomware,ddos,,,,"backup_systems,customer_database,HR_systems,SSO",134.87,verified_media,4,2022,10,3,61,70,3644588.12,estimated,267396.79,,,3230270.69,388177.88,,1295633.78,,,,,,,,,medium
2022-0424-001,455159513.75,SE,62,,2385,False,malware,,,27829.0,credentials,"VPN,customer_database,HR_systems,file_servers,backup_systems",17.04,gdpr_notification,1,2022,4,6,35,55,13893301.83,estimated,,,,6786101.75,3918781.97,,13347109.61,,,,,,,,,high
2023-0902-001,4681402229.24,US,52,,16493,False,apt,,suspected,903745.0,PII,"payment_systems,customer_database,ERP",67.98,verified_media,4,2023,9,5,7,35,74754449.46,calculated,,,,84202280.68,12784318.56,1429526.71,,,,,,,,,,critical
2021-1124-001,34348692144.96,IT,52,,71320,False,apt,,confirmed,233574.0,credentials,payment_systems,9.85,cybersecurity_firm,3,2021,11,2,11,39,15400000.0,disclosed,,,,12217203.27,4975847.62,,8710578.67,,,,,,,,,high
2023-0216-001,6350774936.77,GB,54,,21535,True,apt,,,228075.0,PII,SSO,134.74,cybersecurity_firm,3,2023,2,3,60,46,6600000.0,estimated,,,,7810520.87,2001812.7,5640788.44,,89.63,88.44,1542787.0,S&P 500,12.749,False,35047091917.59,22.985,high
2023-1013-001,93037502.07,AU,31-33,,323,False,apt,,confirmed,87460.0,PII,"active_directory,SSO,website,ERP",167.96,verified_media,4,2023,10,4,94,13,30702375.68,estimated,,,,27298599.33,5737118.9,,,,,,,,,,,critical
2024-1202-001,314057889.27,DE,62,,1759,True,ransomware,,,44647095.0,health,backup_systems,4.0,gdpr_notification,1,2024,12,0,10,13,5400000.0,calculated,208735.35,,,1856058.0,1785199.41,,3654172.91,8.96,8.94,1045477.0,S&P 500 Health Care,-632.0,False,1924290259.57,38.065,medium
2024-1210-002,94307168.16,GB,62,,629,False,phishing,,suspected,2378160.0,credentials,"payment_systems,SSO,active_directory,email,manufacturing_OT",,sec_filing,1,2024,12,1,6,32,345832.75,estimated,,,,262774.12,99962.99,,,,,,,,,,,low
2024-1009-001,271470360.97,US,44-45,,3950,False,ddos,,suspected,,,"manufacturing_OT,CRM,SCADA,website,SSO",6.74,sec_filing,1,2024,10,2,6,16,24432332.49,estimated,,,,25869588.47,3428991.02,,,,,,,,,,,critical
2024-0915-001,27180206.2,CA,56,,862,False,malware,,probable,14963.0,health,ERP,16.93,cybersecurity_firm,3,2024,9,6,5,31,481806.12,estimated,,,,163557.03,153929.58,1454846.19,502066.22,,,,,,,,,low
2025-1217-001,1527242577.22,BR,61,52,20259,False,supply_chain,,suspected,,,"VPN,payment_systems",66.67,gdpr_notification,1,2025,12,2,14,13,6400000.0,calculated,,,,4441014.62,1078617.46,,4967314.55,,,,,,,,,medium
2025-1231-001,288092661.28,US,62,,1744,False,ransomware,,suspected,1344167.0,PII,SSO,5.23,cybersecurity_firm,3,2025,12,2,33,12,9944830.62,disclosed,93173.95,,,10655366.28,896669.47,,7135514.59,,,,,,,,,high
2024-0920-001,208580343.2,CA,31-33,,1344,True,supply_chain,,confirmed,,,"ERP,payment_systems",203.17,company_pr,2,2024,9,4,2,16,35492525.87,disclosed,,,,27083890.26,4764617.92,,30371489.08,11.73,11.5,1619974.0,S&P 500 Industrials,-13.264,False,1177341674.31,36.355,critical
2024-0515-001,465936796.14,US,53,,961,False,phishing,ddos,suspected,,,"SCADA,ERP",,sec_filing,1,2024,5,2,6,21,800000.0,calculated,,,,842777.17,178269.0,,970489.13,,,,,,,,,low
2022-0103-001,41634299.85,IT,51,,122,False,phishing,,,472363.0,IP,"active_directory,SCADA,file_servers,SSO,payment_systems",,verified_media,4,2022,1,0,30,31,2400000.0,calculated,,,,2046294.79,612886.4,333129.32,,,,,,,,,,low
2025-0331-001,20438774030.52,US,22,,97775,True,apt,,,307225.0,credentials,file_servers,33.12,cybersecurity_firm,3,2025,3,0,33,11,19800000.0,disclosed,,,,9059119.9,3997054.29,,10513415.45,152.44,146.84,7263232.0,S&P 500 Utilities,24.826,False,85449789170.1,20.593,high
2025-0408-001,3109876651.3,US,44-45,,18523,False,ddos,backdoor,,,,ERP,,cybersecurity_firm,3,2025,4,1,15,10,4247291.27,calculated,,,,2345523.96,495352.39,,3895904.72,,,,,,,,,medium
2024-0330-001,58693712.3,TW,44-45,,539,False,trojan,phishing,suspected,10358.0,health,"customer_database,cloud_infrastructure,active_directory",,gdpr_notification,1,2024,3,5,14,37,6300000.0,disclosed,,,,6426212.39,1710844.41,,5208317.44,,,,,,,,,medium
2023-0907-001,3255846565.43,DE,44-45,,49709,False,malware,,,34454.0,IP,"payment_systems,file_servers,SSO",180.85,gdpr_notification,1,2023,9,3,11,60,25006509.07,disclosed,,,,21312982.54,4729371.64,,,,,,,,,,,high
2023-0206-001,471326062.17,FR,54,,1882,False,supply_chain,,probable,,,"CRM,SCADA,manufacturing_OT",,gdpr_notification,1,2023,2,0,3,12,30797196.76,disclosed,,,,17115780.84,7328014.51,,,,,,,,,,,critical
2023-1004-001,36252630.85,IT,62,,210,False,ransomware,,,1750.0,financial,"website,VPN,ERP,cloud_infrastructure,payment_systems",26.84,sec_filing,1,2023,10,2,94,22,2360355.35,disclosed,1021440.2,,,1546686.27,233629.98,,1404428.98,,,,,,,,,low
2025-1222-001,21254128189.95,JP,92,,223822,False,data_breach,,confirmed,35436.0,health,"website,file_servers,email,customer_database",,sec_filing,1,2025,12,0,32,38,3877904.76,calculated,,,,2902829.57,625967.99,,1408099.65,,,,,,,,,medium
2024-0402-001,500258732.06,US,52,,1120,False,ransomware,,,56912.0,health,"HR_systems,website,cloud_infrastructure,active_directory,backup_systems",,verified_media,4,2024,4,1,3,45,2512082.13,disclosed,17697145.58,6335720.87,FBI disclosure,2067366.52,646171.39,,2797789.13,,,,,,,,,medium
2025-1117-001,10402622113.45,AU,51,,19010,True,data_breach,backdoor,,31233.0,financial,"email,CRM",,company_pr,2,2025,11,0,3,38,123087808.4,calculated,,,,54689029.46,25767353.1,,,145.58,137.59,8999002.0,S&P 500 Information Technology,-10.507,False,18564022306.01,38.134,critical
2021-1020-002,5554393390.17,MX,51,,9916,False,supply_chain,,confirmed,,,"HR_systems,cloud_infrastructure",,verified_media,4,2021,10,2,33,38,9600000.0,estimated,,,,5972803.48,1801115.31,,,,,,,,,,,high
2022-1104-001,8123110317.32,US,62,,35373,True,apt,,,35700.0,health,"backup_systems,CRM,payment_systems,file_servers,cloud_infrastructure",25.18,verified_media,3,2022,11,4,16,68,808837.02,estimated,,,,769383.95,232840.93,10854966.18,,44.9,46.85,3231806.0,S&P 500 Health Care,-8.664,False,20082522956.24,25.072,medium
2025-1101-001,233124942.7,AT,44-45,31-33,2809,True,data_breach,supply_chain,,132869.0,financial,"VPN,customer_database",,company_pr,1,2025,11,5,30,11,3776275.28,estimated,,,,3151261.82,216237.26,6999057.78,1231863.7,5.85,6.21,1054421.0,S&P 500 Consumer Discretionary,-14.436,False,1455749472.33,1.424,medium
2024-0510-001,5382900489.03,HK,62,,25560,True,ransomware,,probable,,,email,197.67,verified_media,4,2024,5,4,3,16,7560418.83,disclosed,11885492.49,5412062.43,blockchain analysis,2865516.04,1244914.72,,,66.53,64.68,111161.0,S&P 500 Health Care,-12.098,False,42114867264.5,38.836,high
2022-0114-001,139193788.5,US,51,,319,True,phishing,,probable,150735.0,financial,"active_directory,website,CRM",,sec_filing,1,2022,1,4,12,47,2176382.28,estimated,,,,1397970.32,313114.48,,,9.83,8.8,1712781.0,S&P 500 Information Technology,5.806,False,763529823.47,11.636,low
2023-0714-001,929323723.62,DE,51,,1576,False,ddos,,suspected,,,"CRM,VPN,cloud_infrastructure",54.07,verified_media,4,2023,7,4,1,69,4735551.75,disclosed,,,,1884744.3,1648542.9,,3972865.43,,,,,,,,,medium
2025-0704-001,618883121.63,BR,44-45,,4041,False,malware,,confirmed,112416.0,PII,"manufacturing_OT,active_directory,backup_systems",58.28,cybersecurity_firm,3,2025,7,4,90,50,1842117.79,disclosed,,,,748611.66,349018.12,,,,,,,,,,,low
2025-0228-001,31052822.02,US,51,,80,False,supply_chain,malware,,,,"backup_systems,cloud_infrastructure,VPN,email",49.29,verified_media,4,2025,2,4,32,23,4559340.39,estimated,,,,4648620.48,1442615.61,,,,,,,,,,,medium
2025-1020-001,49691566427.84,GB,92,51,383126,False,data_breach,,unknown,165417.0,health,VPN,,gdpr_notification,1,2025,10,0,31,34,2302300000.0,disclosed,,,,766429415.2,382818304.72,,1054415587.27,,,,,,,,,critical
2025-0222-001,132933580.37,BR,52,,360,False,phishing,,probable,9287.0,mixed,"customer_database,backup_systems,payment_systems",,sec_filing,1,2025,2,5,19,45,1319540.63,disclosed,,,,954901.44,333380.33,,947246.82,,,,,,,,,low
2024-1111-001,76762678830.76,GB,31-33,,254977,True,data_breach,apt,unknown,1555.0,credentials,"website,customer_database",,verified_media,4,2024,11,0,9,55,26575137.16,estimated,,,,25056255.86,2181669.63,,16200910.23,342.25,334.5,980942.0,S&P 500 Industrials,-15.117,False,436966118316.22,11.844,critical
2024-0101-001,6389009384.27,SG,54,,30132,True,trojan,,probable,7978.0,mixed,"CRM,file_servers,ERP,SCADA",,sec_filing,1,2024,1,0,65,11,4726093.11,estimated,,,,4445345.63,811989.09,,2363127.81,52.26,46.98,405825.0,S&P 500,28.749,False,28453857939.97,22.724,medium
2023-0708-001,720048750.23,BR,22,31-33,2195,False,ransomware,,,22365.0,mixed,HR_systems,133.3,sec_filing,1,2023,7,5,4,91,194413162.56,estimated,151652.92,35418.98,company statement,199857936.81,46133291.17,,177394031.77,,,,,,,,,critical
2025-0501-001,2602619344.67,AT,52,,6189,False,apt,,,74646.0,mixed,"website,HR_systems,cloud_infrastructure,CRM",5.81,gdpr_notification,1,2025,5,3,18,65,3974027.46,estimated,,,,2225109.64,1149259.78,,3050515.83,,,,,,,,,medium
2025-1109-001,1586067111.83,GB,54,,9746,False,data_breach,,suspected,14808.0,financial,"file_servers,manufacturing_OT",,sec_filing,1,2025,11,6,92,18,41600000.0,disclosed,,,,16630040.05,4379602.15,1140279.77,40547487.31,,,,,,,,,critical
2022-0207-001,38327097466.96,PH,62,,189223,True,apt,,probable,,,"HR_systems,cloud_infrastructure",63.25,cybersecurity_firm,2,2022,2,0,7,19,103400000.0,disclosed,,,,119813696.49,30543635.97,,,536.23,544.28,175444.0,S&P 500 Health Care,-11.169,True,215135488408.31,3.206,critical
2022-0719-001,1314426896.67,NL,44-45,,7941,True,phishing,,,135178.0,PII,active_directory,,sec_filing,1,2022,7,1,5,37,4800000.0,calculated,,,,4111367.4,589462.87,,4430529.09,7.65,6.9,3347952.0,S&P 500 Consumer Discretionary,21.795,False,2361121526.79,15.203,medium
2024-1010-001,340623178.79,US,92,,4398,False,ransomware,,confirmed,288055.0,PII,"active_directory,CRM,VPN",51.6,sec_filing,1,2024,10,3,2,60,3600000.0,estimated,280237.72,,,2828701.96,416818.22,,,,,,,,,,,medium
2025-0831-001,420339692.5,US,52,,1196,True,ransomware,,suspected,63748.0,PII,"customer_database,backup_systems,VPN,email,cloud_infrastructure",17.2,company_pr,2,2025,8,6,15,30,4409230.97,disclosed,1090423.82,240832.63,insurance claim record,1559485.68,401021.54,,1500714.51,10.75,11.31,4004858.0,S&P 500 Financials,9.579,True,2247352726.7,14.469,medium
2021-0829-001,16685815544.26,CA,31-33,62,48934,True,malware,,probable,3414242.0,mixed,email,14.1,verified_media,4,2021,8,6,34,9,16915495.31,estimated,,,,13157350.86,2350864.7,,,145.47,135.46,452743.0,S&P 500 Industrials,-17.956,False,95422001006.37,32.121,high
2024-0303-001,110821031.96,US,72,,2850,False,ddos,,,,,website,,company_pr,2,2024,3,6,18,38,9600000.0,estimated,,,,7880007.79,2368590.24,,9585437.26,,,,,,,,,high
2025-0606-001,6486016176.02,JP,52,,17810,True,apt,,unknown,874147.0,PII,"customer_database,SSO",24.79,verified_media,4,2025,6,4,3,12,255857877.36,estimated,,,,225799580.54,35479059.82,,,90.76,85.91,392468.0,S&P 500 Financials,10.876,False,17980221918.77,12.508,critical
2023-1105-001,5297153309.04,IE,92,,62210,False,malware,,probable,9256285.0,PII,"CRM,active_directory,VPN,cloud_infrastructure",12.01,sec_filing,1,2023,11,6,30,65,15000000.0,disclosed,,,,9653888.69,3242401.17,232137.59,4558811.89,,,,,,,,,high
2023-1201-001,5652901587.08,FR,54,,20468,True,apt,,,29241.0,mixed,"SCADA,cloud_infrastructure,backup_systems",11.17,verified_media,4,2023,12,4,32,21,6304926.26,calculated,,,,3911487.29,863502.9,,,35.07,34.5,1955876.0,S&P 500,5.169,False,42137873369.88,13.497,medium
2023-0815-001,78836299.57,JP,62,61,339,False,ransomware,,unknown,72384.0,PII,ERP,51.57,sec_filing,1,2023,8,1,94,35,7670958.06,calculated,18630747.64,,,2773076.92,2269652.01,,6457355.58,,,,,,,,,medium
2023-0921-001,35752212.43,US,62,,185,False,ransomware,backdoor,suspected,215316.0,financial,"CRM,payment_systems,HR_systems,cloud_infrastructure,website",2.77,sec_filing,1,2023,9,3,7,50,7350895.68,disclosed,937080.74,751012.77,blockchain analysis,2633380.24,2518139.35,,,,,,,,,,,medium
2022-1025-001,3844120944.96,US,92,,27625,False,phishing,,confirmed,481824.0,PII,ERP,,cybersecurity_firm,3,2022,10,1,35,65,44485827.3,calculated,,,,14610865.99,7968386.87,,20607730.93,,,,,,,,,critical
2025-0605-001,140317804.14,US,62,,1184,False,trojan,,,448189.0,health,"cloud_infrastructure,manufacturing_OT,customer_database,SSO",,sec_filing,1,2025,6,3,91,16,11992438.98,estimated,,,,3888066.94,3806434.52,149906.62,6410749.57,,,,,,,,,high
2025-0203-001,5618788970.24,AU,48-49,,24110,True,phishing,ddos,,19754.0,mixed,"file_servers,SCADA,ERP,cloud_infrastructure",,sec_filing,1,2025,2,0,90,14,308563766.24,estimated,,,,168484591.51,67861962.7,,176364717.21,55.31,55.38,291606.0,S&P 500 Industrials,20.447,False,39844005078.88,37.334,critical
2025-0128-001,232680166.83,US,62,42,2328,False,malware,,,9976.0,financial,"payment_systems,ERP,VPN",556.94,verified_media,4,2025,1,1,35,15,4026988.08,estimated,,,,4156194.97,1092665.45,,1633007.67,,,,,,,,,medium
2024-1231-001,3051445901.36,CA,62,,12216,True,ransomware,,,7476.0,credentials,email,77.72,company_pr,2,2024,12,1,10,49,29510095.26,estimated,10725699.45,,,33465781.67,6052278.72,,35786585.58,27.79,26.54,1174731.0,S&P 500 Health Care,24.759,False,11511359842.93,16.112,critical
2024-1205-001,8794897087.49,IN,44-45,,101275,True,phishing,,probable,14916.0,financial,active_directory,,company_pr,2,2024,12,3,34,90,4160912.25,disclosed,,,,4862210.62,1288445.84,2154745.56,,92.8,93.12,4361983.0,S&P 500 Consumer Discretionary,28.664,False,17718994291.17,34.046,medium
2022-0807-001,5328942978.77,SE,51,92,9486,True,phishing,,suspected,58015.0,health,"VPN,customer_database",,gdpr_notification,1,2022,8,6,7,30,4112918.03,estimated,,,,1300190.85,692945.06,1532898.78,2923936.12,66.39,62.66,1136152.0,S&P 500 Information Technology,14.802,False,13125595307.17,22.656,medium
2023-0111-001,16673010962.01,JP,31-33,,121823,True,phishing,,suspected,543729.0,financial,"SCADA,CRM,manufacturing_OT,payment_systems,email",,company_pr,2,2023,1,2,94,11,5923862.87,disclosed,,,,6537512.72,1037512.67,,8362321.51,235.76,221.17,401507.0,S&P 500 Industrials,28.547,False,111002837379.62,38.292,medium
